0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
2	00000010
15	00001111
22	00010110
28	00011100
38	00100110
52	00110100
60	00111100
70	01000110
79	01001111
79	01001111
84	01010100
94	01011110
102	01100110
101	01100101
95	01011111
95	01011111
100	01100100
97	01100001
93	01011101
104	01101000
114	01110010
116	01110100
116	01110100
110	01101110
109	01101101
119	01110111
123	01111011
117	01110101
112	01110000
114	01110010
119	01110111
117	01110101
113	01110001
120	01111000
123	01111011
125	01111101
135	10000111
140	10001100
134	10000110
129	10000001
126	01111110
131	10000011
142	10001110
157	10011101
161	10100001
125	01111101
71	01000111
45	00101101
41	00101001
44	00101100
49	00110001
54	00110110
63	00111111
72	01001000
74	01001010
73	01001001
73	01001001
70	01000110
68	01000100
73	01001001
82	01010010
88	01011000
86	01010110
79	01001111
84	01010100
93	01011101
102	01100110
113	01110001
125	01111101
134	10000110
130	10000010
133	10000101
142	10001110
140	10001100
126	01111110
107	01101011
92	01011100
79	01001111
62	00111110
40	00101000
20	00010100
16	00010000
17	00010001
18	00010010
28	00011100
43	00101011
68	01000100
96	01100000
110	01101110
116	01110100
126	01111110
129	10000001
104	01101000
64	01000000
41	00101001
32	00100000
29	00011101
30	00011110
35	00100011
39	00100111
42	00101010
46	00101110
47	00101111
45	00101101
45	00101101
46	00101110
47	00101111
48	00110000
53	00110101
53	00110101
54	00110110
56	00111000
59	00111011
64	01000000
69	01000101
68	01000100
67	01000011
69	01000101
68	01000100
65	01000001
66	01000010
66	01000010
61	00111101
55	00110111
52	00110100
53	00110101
58	00111010
56	00111000
40	00101000
20	00010100
18	00010010
32	00100000
47	00101111
56	00111000
57	00111001
57	00111001
61	00111101
61	00111101
62	00111110
59	00111011
43	00101011
26	00011010
20	00010100
30	00011110
45	00101101
66	01000010
86	01010110
90	01011010
81	01010001
62	00111110
42	00101010
29	00011101
26	00011010
31	00011111
39	00100111
46	00101110
56	00111000
64	01000000
70	01000110
76	01001100
75	01001011
71	01000111
65	01000001
48	00110000
27	00011011
22	00010110
26	00011010
31	00011111
39	00100111
46	00101110
49	00110001
59	00111011
64	01000000
64	01000000
64	01000000
64	01000000
62	00111110
61	00111101
67	01000011
74	01001010
69	01000101
45	00101101
22	00010110
12	00001100
8	00001000
7	00000111
7	00000111
12	00001100
19	00010011
28	00011100
41	00101001
54	00110110
61	00111101
67	01000011
75	01001011
80	01010000
86	01010110
89	01011001
82	01010010
77	01001101
76	01001100
68	01000100
63	00111111
60	00111100
61	00111101
70	01000110
81	01010001
82	01010010
84	01010100
89	01011001
86	01010110
86	01010110
102	01100110
114	01110010
115	01110011
108	01101100
105	01101001
109	01101101
110	01101110
98	01100010
73	01001001
42	00101010
39	00100111
48	00110000
52	00110100
62	00111110
75	01001011
88	01011000
91	01011011
85	01010101
89	01011001
89	01011001
67	01000011
40	00101000
41	00101001
56	00111000
68	01000100
74	01001010
83	01010011
90	01011010
96	01100000
96	01100000
89	01011001
76	01001100
53	00110101
33	00100001
32	00100000
45	00101101
63	00111111
76	01001100
82	01010010
90	01011010
99	01100011
102	01100110
109	01101101
97	01100001
61	00111101
32	00100000
22	00010110
26	00011010
42	00101010
57	00111001
58	00111010
54	00110110
53	00110101
65	01000001
76	01001100
67	01000011
47	00101111
33	00100001
38	00100110
51	00110011
59	00111011
62	00111110
70	01000110
77	01001101
80	01010000
87	01010111
84	01010100
65	01000001
42	00101010
24	00011000
22	00010110
36	00100100
50	00110010
56	00111000
55	00110111
56	00111000
60	00111100
60	00111100
63	00111111
73	01001001
83	01010011
92	01011100
99	01100011
104	01101000
102	01100110
94	01011110
91	01011011
95	01011111
97	01100001
95	01011111
96	01100000
92	01011100
79	01001111
80	01010000
88	01011000
92	01011100
93	01011101
96	01100000
103	01100111
102	01100110
97	01100001
98	01100010
91	01011011
82	01010010
72	01001000
68	01000100
78	01001110
93	01011101
100	01100100
99	01100011
100	01100100
100	01100100
97	01100001
90	01011010
75	01001011
64	01000000
62	00111110
59	00111011
60	00111100
70	01000110
84	01010100
83	01010011
75	01001011
76	01001100
86	01010110
93	01011101
95	01011111
104	01101000
123	01111011
128	10000000
122	01111010
131	10000011
141	10001101
146	10010010
146	10010010
142	10001110
140	10001100
138	10001010
139	10001011
143	10001111
147	10010011
151	10010111
166	10100110
180	10110100
194	11000010
209	11010001
218	11011010
223	11011111
221	11011101
216	11011000
204	11001100
181	10110101
153	10011001
128	10000000
119	01110111
113	01110001
103	01100111
81	01010001
52	00110100
32	00100000
25	00011001
25	00011001
27	00011011
28	00011100
28	00011100
24	00011000
20	00010100
35	00100011
62	00111110
81	01010001
85	01010101
85	01010101
85	01010101
87	01010111
89	01011001
94	01011110
108	01101100
121	01111001
132	10000100
141	10001101
144	10010000
141	10001101
131	10000011
130	10000010
135	10000111
136	10001000
137	10001001
138	10001010
125	01111101
110	01101110
119	01110111
129	10000001
133	10000101
136	10001000
143	10001111
153	10011001
146	10010010
141	10001101
136	10001000
99	01100011
51	00110011
26	00011010
20	00010100
32	00100000
51	00110011
66	01000010
67	01000011
62	00111110
62	00111110
68	01000100
61	00111101
38	00100110
30	00011110
33	00100001
52	00110100
73	01001001
86	01010110
108	01101100
127	01111111
136	10001000
153	10011001
161	10100001
154	10011010
149	10010101
155	10011011
165	10100101
164	10100100
174	10101110
188	10111100
185	10111001
184	10111000
189	10111101
181	10110101
142	10001110
85	01010101
52	00110100
32	00100000
30	00011110
40	00101000
60	00111100
85	01010101
100	01100100
103	01100111
112	01110000
135	10000111
156	10011100
171	10101011
188	10111100
198	11000110
192	11000000
183	10110111
184	10111000
187	10111011
181	10110101
165	10100101
156	10011100
156	10011100
143	10001111
106	01101010
62	00111110
44	00101100
49	00110001
59	00111011
71	01000111
86	01010110
96	01100000
108	01101100
128	10000000
135	10000111
132	10000100
129	10000001
122	01111010
122	01111010
129	10000001
145	10010001
158	10011110
154	10011010
140	10001100
150	10010110
164	10100100
181	10110101
199	11000111
218	11011010
239	11101111
234	11101010
236	11101100
255	11111111
250	11111010
224	11100000
196	11000100
166	10100110
122	01111010
66	01000010
30	00011110
24	00011000
33	00100001
48	00110000
69	01000101
89	01011001
96	01100000
99	01100011
109	01101101
98	01100010
64	01000000
40	00101000
30	00011110
29	00011101
31	00011111
35	00100011
43	00101011
48	00110000
52	00110100
58	00111010
57	00111001
53	00110101
55	00110111
57	00111001
57	00111001
61	00111101
66	01000010
66	01000010
67	01000011
69	01000101
67	01000011
54	00110110
33	00100001
23	00010111
28	00011100
49	00110001
68	01000100
78	01001110
78	01001110
78	01001110
83	01010011
84	01010100
87	01010111
102	01100110
117	01110101
126	01111110
137	10001001
147	10010011
144	10010000
131	10000011
126	01111110
132	10000100
136	10001000
134	10000110
131	10000011
109	01101101
64	01000000
38	00100110
33	00100001
38	00100110
48	00110000
54	00110110
65	01000001
72	01001000
73	01001001
78	01001110
85	01010101
93	01011101
95	01011111
90	01011010
87	01010111
91	01011011
90	01011010
86	01010110
92	01011100
101	01100101
106	01101010
109	01101101
96	01100000
67	01000011
40	00101000
27	00011011
18	00010010
13	00001101
12	00001100
14	00001110
22	00010110
33	00100001
41	00101001
51	00110011
62	00111110
68	01000100
77	01001101
82	01010010
79	01001111
77	01001101
80	01010000
81	01010001
82	01010010
89	01011001
93	01011101
93	01011101
96	01100000
100	01100100
106	01101010
116	01110100
102	01100110
65	01000001
37	00100101
23	00010111
16	00010000
17	00010001
22	00010110
25	00011001
26	00011010
28	00011100
32	00100000
31	00011111
25	00011001
26	00011010
32	00100000
40	00101000
48	00110000
54	00110110
60	00111100
71	01000111
75	01001011
74	01001010
71	01000111
54	00110110
30	00011110
18	00010010
17	00010001
25	00011001
37	00100101
53	00110101
62	00111110
65	01000001
66	01000010
56	00111000
39	00100111
28	00011100
28	00011100
35	00100011
41	00101001
52	00110100
61	00111101
67	01000011
75	01001011
76	01001100
69	01000101
50	00110010
28	00011100
21	00010101
25	00011001
32	00100000
40	00101000
46	00101110
50	00110010
60	00111100
68	01000100
69	01000101
67	01000011
66	01000010
63	00111111
62	00111110
69	01000101
78	01001110
82	01010010
76	01001100
72	01001000
81	01010001
88	01011000
98	01100010
107	01101011
117	01110101
123	01111011
120	01111000
126	01111110
132	10000100
123	01111011
108	01101100
93	01011101
81	01010001
70	01000110
54	00110110
43	00101011
43	00101011
46	00101110
54	00110110
60	00111100
68	01000100
76	01001100
82	01010010
91	01011011
102	01100110
102	01100110
83	01010011
62	00111110
68	01000100
89	01011001
106	01101010
122	01111010
146	10010010
172	10101100
191	10111111
202	11001010
219	11011011
231	11100111
229	11100101
213	11010101
191	10111111
181	10110101
173	10101101
164	10100100
165	10100101
168	10101000
169	10101001
166	10100110
162	10100010
162	10100010
159	10011111
159	10011111
153	10011001
141	10001101
127	01111111
122	01111010
129	10000001
135	10000111
132	10000100
127	01111111
127	01111111
134	10000110
139	10001011
142	10001110
134	10000110
99	01100011
59	00111011
37	00100101
22	00010110
14	00001110
10	00001010
6	00000110
4	00000100
4	00000100
5	00000101
4	00000100
4	00000100
4	00000100
5	00000101
6	00000110
5	00000101
4	00000100
3	00000011
2	00000010
2	00000010
2	00000010
3	00000011
3	00000011
2	00000010
2	00000010
2	00000010
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
1	00000001
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
0	00000000
